School Division/Independent School,Code,School Name,Year,SE,Nursery,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
Beautiful Plains,2202,Acadia Colony School,2019,0,0,2,3,4,4,2,1,2,2,3,0,2,2,2,29
Beautiful Plains,1117,Brookdale School,2019,0,0,4,4,4,5,3,5,8,2,4,0,0,0,0,39
Beautiful Plains,1434,Carberry Collegiate,2019,0,0,0,0,0,0,0,37,40,39,37,34,41,44,51,323
Beautiful Plains,2098,Fairway Colony School,2019,0,0,0,1,3,2,0,2,0,2,3,1,3,2,0,19
Beautiful Plains,1292,Hazel M. Kellington School,2019,0,0,76,93,99,89,90,0,0,0,0,0,0,0,0,447
Beautiful Plains,1184,J. M. Young School,2019,0,0,7,10,1,11,4,5,2,1,0,0,0,0,0,41
Beautiful Plains,1573,Neepawa Area Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,80,98,93,104,375
Beautiful Plains,2320,Neepawa Middle School,2019,0,0,0,0,0,0,0,99,86,107,109,0,0,0,0,401
Beautiful Plains,1645,R. J. Waugh Elementary,2019,0,0,41,44,33,37,46,0,0,0,0,0,0,0,0,201
Beautiful Plains,1574,Riverbend Colony School,2019,0,0,1,2,0,3,0,2,0,2,1,2,0,3,1,17
Beautiful Plains,1734,Riverside Colony School,2019,0,0,2,0,2,3,3,0,3,1,1,1,1,0,1,18
Beautiful Plains,2236,Rolling Acres School,2019,0,0,2,1,1,2,2,3,1,1,0,1,2,0,1,17
Beautiful Plains,1221,Spruce Wood School,2019,0,0,4,2,0,4,4,0,7,4,1,7,1,4,1,39
Beautiful Plains,2127,Twilight Colony School,2019,0,0,1,2,0,0,2,3,0,1,1,4,2,1,0,17
Beautiful Plains,1311,Willerton School,2019,0,0,3,6,0,7,5,3,5,6,2,4,3,2,5,51
Border Land,2086,Blue Clay Colony School,2019,0,0,1,2,2,1,2,2,0,0,1,2,0,3,2,18
Border Land,1730,École Elmwood School,2019,0,0,62,79,87,74,0,0,0,0,0,0,0,0,0,302
Border Land,1721,École Parkside School,2019,0,0,0,0,0,0,0,0,0,81,81,0,0,0,0,162
Border Land,1533,École West Park School,2019,0,0,0,0,0,0,75,76,56,0,0,0,0,0,0,207
Border Land,1177,Emerson Elementary,2019,0,0,14,6,7,11,10,7,9,8,11,0,0,0,0,83
Border Land,1380,Glenway Colony School,2019,0,0,2,1,0,3,1,1,1,2,0,2,2,2,3,20
Border Land,2290,Green Ridge School,2019,0,0,3,1,5,0,2,1,3,1,2,0,2,1,1,22
Border Land,1786,Gretna Elementary,2019,0,0,20,17,18,15,16,24,13,17,20,0,0,0,0,160
Border Land,2286,Horizon Colony School,2019,0,0,0,1,1,2,1,1,1,2,0,1,1,4,0,15
Border Land,2122,Pineland Colony School,2019,0,0,2,1,4,0,1,3,1,3,1,0,3,3,1,23
Border Land,2123,Ridgeville Colony School,2019,0,0,0,2,3,1,2,1,1,2,1,0,2,1,0,16
Border Land,1658,Roseau Valley School,2019,0,0,5,9,8,11,11,16,17,12,25,32,28,26,37,237
Border Land,1344,Rosenfeld Elementary,2019,0,0,5,6,18,14,8,18,10,0,0,0,0,0,0,79
Border Land,1059,Ross L. Gray School,2019,0,0,11,15,9,13,16,8,12,11,11,10,11,10,8,145
Border Land,1551,Shevchenko School,2019,0,0,19,30,25,24,33,25,25,29,24,39,28,31,28,360
Border Land,1778,W. C. Miller Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,107,78,104,116,405
Brandon,1901,Alexander School,2019,0,0,13,10,11,18,22,13,12,11,13,0,0,0,0,123
Brandon,1325,Betty Gibson School,2019,0,0,40,36,39,33,34,35,36,30,30,0,0,0,0,313
Brandon,1302,Crocus Plains Regional Secondary,2019,0,0,0,0,0,0,0,0,0,0,0,263,270,264,302,1099
Brandon,1371,Earl Oxford School,2019,0,0,43,36,44,37,54,35,45,34,35,0,0,0,0,363
Brandon,1449,École Harrison,2019,0,0,40,43,39,38,36,40,40,42,43,0,0,0,0,361
Brandon,1007,George Fitton School,2019,0,0,54,64,56,51,38,58,51,45,43,0,0,0,0,460
Brandon,1112,Green Acres School,2019,0,0,25,24,27,25,20,28,20,28,27,0,0,0,0,224
Brandon,1270,J. R. Reid School,2019,0,0,32,25,28,29,23,43,34,33,34,0,0,0,0,281
Brandon,1660,King George School,2019,0,0,36,45,38,39,38,16,29,50,60,0,0,0,0,351
Brandon,1987,Kirkcaldy Heights School,2019,0,0,45,43,41,52,39,45,37,48,46,0,0,0,0,396
Brandon,1631,Linden Lanes School,2019,0,0,49,53,58,45,35,45,49,51,47,0,0,0,0,432
Brandon,1706,Meadows School,2019,0,0,49,65,52,64,45,66,42,61,46,0,0,0,0,490
Brandon,1758,Neelin High,2019,39,0,0,0,0,0,0,0,0,0,0,131,113,131,126,540
Brandon,1215,New Era School,2019,0,0,52,65,55,56,40,50,42,43,57,0,0,0,0,460
Brandon,1845,O'Kelly School,2019,0,0,22,31,29,21,27,21,21,12,12,0,0,1,0,197
Brandon,2321,Prairie Hope High School,2019,0,0,0,0,0,0,0,0,0,0,0,3,13,32,193,241
Brandon,1604,Riverheights School,2019,9,0,76,53,79,65,75,58,61,62,55,0,0,0,0,593
Brandon,1603,Riverview School,2019,0,0,27,29,27,29,17,25,26,0,0,0,0,0,0,180
Brandon,1037,Spring Valley Colony School,2019,0,0,1,4,2,3,2,7,0,3,1,4,4,3,2,36
Brandon,1593,St. Augustine School,2019,0,0,18,20,21,21,21,20,24,25,25,0,0,0,0,195
Brandon,1700,Valleyview Centennial School,2019,0,0,22,34,26,29,20,27,20,22,15,0,0,0,0,215
Brandon,1880,Vincent Massey High,2019,0,0,0,0,0,0,0,0,0,0,0,257,246,257,240,1000
Brandon,2048,Waverly Park School,2019,0,0,43,52,51,49,50,45,56,64,44,0,0,0,0,454
D.S.F.M.,2255,Centre scolaire Léo-Rémillard,2019,0,0,0,0,0,0,0,0,0,0,0,92,97,79,87,355
D.S.F.M.,1287,Collège Louis-Riel,2019,0,0,0,0,0,0,0,0,0,47,74,86,117,102,87,513
D.S.F.M.,1332,École Christine-Lespérance,2019,0,0,55,57,57,69,53,71,52,70,49,0,0,0,0,533
D.S.F.M.,2078,École communautaire Aurèle-Lemoine,2019,0,0,5,5,7,8,4,6,9,4,8,4,2,3,5,70
D.S.F.M.,2147,École communautaire Gilbert-Rosset,2019,0,8,6,6,8,3,5,2,3,3,5,4,2,3,2,60
D.S.F.M.,2267,École communautaire La Voie Du Nord,2019,0,0,10,14,13,8,8,7,13,13,7,0,3,3,0,99
D.S.F.M.,1870,École communautaire Réal-Bérard,2019,0,0,31,33,30,28,23,16,21,19,16,12,14,22,19,284
D.S.F.M.,2091,École communautaire Saint-Georges,2019,0,6,8,2,3,4,7,2,6,6,3,1,2,1,2,53
D.S.F.M.,2104,École Jours de Plaine,2019,0,4,3,4,2,6,7,7,1,9,1,1,1,1,0,47
D.S.F.M.,2231,École La Source,2019,0,0,23,30,18,15,15,19,15,22,13,7,6,5,3,191
D.S.F.M.,1180,École Lacerte,2019,0,0,48,51,42,47,50,41,43,50,47,0,0,0,0,419
D.S.F.M.,1770,École Lagimodière,2019,0,0,18,26,17,20,29,16,19,25,22,0,0,0,0,192
D.S.F.M.,1204,École Noël-Ritchot,2019,0,0,25,12,25,28,31,30,32,19,32,0,0,0,0,234
D.S.F.M.,1648,École Pointe-Des-Chênes,2019,0,0,26,18,35,18,38,28,27,30,24,9,16,9,11,289
D.S.F.M.,1887,École Précieux-Sang,2019,0,0,49,61,53,55,44,54,43,38,36,0,0,0,0,433
D.S.F.M.,1671,École régionale Notre-Dame,2019,0,0,21,19,24,10,21,13,17,17,14,10,6,18,9,199
D.S.F.M.,1152,École régionale Saint-Jean-Baptiste,2019,0,0,10,12,6,9,8,5,10,10,13,7,8,7,4,109
D.S.F.M.,2211,École Roméo-Dallaire,2019,0,0,23,21,27,18,24,22,15,14,19,0,0,0,0,183
D.S.F.M.,1319,École Sainte-Agathe,2019,0,0,11,15,18,15,16,11,25,13,8,0,0,0,0,132
D.S.F.M.,1399,École Saint-Joachim,2019,0,0,44,36,36,31,29,31,34,29,39,24,19,25,20,397
D.S.F.M.,1350,École Saint-Lazare,2019,0,4,8,11,6,8,4,8,6,5,10,5,1,4,4,84
D.S.F.M.,1808,École Taché,2019,0,0,71,58,78,86,72,59,59,0,0,0,0,0,0,483
D.S.F.M.,1557,École/Collège régionale Gabrielle-Roy,2019,0,16,36,29,21,29,18,28,27,21,25,57,55,65,54,481
Evergreen,1587,Arborg Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,29,30,24,36,119
Evergreen,1423,Arborg Early/Middle Years School,2019,0,0,26,28,32,26,25,22,27,27,28,0,0,0,0,241
Evergreen,1300,Dr. George Johnson Middle School,2019,0,0,0,0,0,0,0,52,56,44,43,0,0,0,0,195
Evergreen,1368,Gimli High School,2019,0,0,0,0,0,0,0,0,0,0,0,71,63,66,110,310
Evergreen,1857,Riverton Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,19,29,26,15,89
Evergreen,2133,Riverton Early Middle Years School,2019,0,0,13,16,15,13,16,16,14,19,17,0,0,0,0,139
Evergreen,2212,Sigurbjorg Stefansson Early School,2019,0,0,49,47,47,47,43,0,0,0,0,0,0,0,0,233
Evergreen,1601,Winnipeg Beach School,2019,0,0,15,27,15,21,19,15,21,19,11,0,0,0,0,163
Flin Flon,1178,École McIsaac School,2019,0,0,44,40,43,36,40,48,47,47,53,0,0,0,0,398
Flin Flon,1865,Hapnot Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,57,56,64,67,244
Flin Flon,2085,Many Faces Education Centre,2019,0,0,0,0,0,0,0,0,0,0,0,19,7,8,68,102
Flin Flon,1736,Ruth Betts Community School,2019,0,0,34,42,21,24,22,31,23,31,15,0,0,0,0,243
Fort La Bosse,2121,Boundary Lane Colony School,2019,0,0,2,2,2,3,3,0,1,0,1,1,0,1,0,16
Fort La Bosse,1476,Elkhorn School,2019,0,0,14,10,13,16,13,7,13,11,11,16,6,13,8,151
Fort La Bosse,1224,Goulter School,2019,0,0,18,24,35,37,39,0,0,0,0,0,0,0,0,153
Fort La Bosse,1672,Kola School,2019,0,0,0,1,2,6,4,1,6,1,4,0,0,0,0,25
Fort La Bosse,1902,Mary Montgomery School,2019,0,0,35,41,47,41,38,0,0,0,0,0,0,0,0,202
Fort La Bosse,1711,Oak Lake Community School,2019,0,0,12,14,18,8,12,19,7,14,10,0,0,0,0,114
Fort La Bosse,1313,Plainview Colony School,2019,0,0,1,5,4,6,3,4,6,0,7,1,0,0,0,37
Fort La Bosse,1427,Reston School,2019,0,0,11,10,16,21,16,20,19,20,9,12,11,12,19,196
Fort La Bosse,1043,Virden Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,68,76,78,82,304
Fort La Bosse,1567,Virden Junior High,2019,0,0,0,0,0,0,0,78,72,59,67,0,0,0,0,276
Frontier,1820,Barrows Junction School,2019,0,1,2,3,3,3,0,4,2,2,2,0,0,0,0,22
Frontier,1680,Berens River School,2019,0,42,41,32,32,37,35,35,31,29,30,28,0,0,0,372
Frontier,1408,Black River Anishinabe School,2019,0,25,19,16,23,13,17,19,13,15,16,14,11,0,0,201
Frontier,1522,Brochet School,2019,0,14,15,16,12,17,8,7,13,11,12,12,0,0,2,139
Frontier,1934,Chan Kagha Otina Dakota Wayawa Tipi Sch.,2019,0,14,13,15,16,14,12,17,4,10,13,7,7,6,9,157
Frontier,1031,Cold Lake School,2019,0,0,1,0,1,1,1,3,4,1,1,0,0,0,0,13
Frontier,1839,Cormorant Lake School,2019,0,8,6,10,4,5,10,4,4,10,4,7,6,0,0,78
Frontier,1595,Cranberry Portage Elementary,2019,0,2,5,10,5,11,11,14,8,6,11,0,0,0,0,83
Frontier,1008,D. R. Hamilton School,2019,0,10,11,10,8,13,17,15,20,13,4,4,0,0,0,125
Frontier,1968,Dauphin River School,2019,0,2,2,4,4,2,1,0,1,5,2,0,0,0,0,23
Frontier,1788,Duck Bay School,2019,0,3,11,4,11,11,10,11,10,4,7,5,0,0,0,87
Frontier,1904,Duke of Marlborough School,2019,0,10,10,10,5,14,16,11,12,13,12,16,9,9,14,161
Frontier,1984,Falcon Beach School,2019,0,4,2,2,5,3,7,3,3,6,2,0,2,0,0,39
Frontier,1852,Frontier Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,66,69,61,81,277
Frontier,1528,Frontier Mosakahiken School,2019,0,28,41,37,30,31,33,40,28,42,34,41,32,32,57,506
Frontier,1024,Gillam School,2019,0,14,19,15,21,23,19,23,32,23,29,22,23,21,14,298
Frontier,1278,Grand Rapids School,2019,0,24,33,40,35,35,26,32,28,31,26,22,22,22,16,392
Frontier,2021,Gypsumville School,2019,0,4,4,10,3,4,6,8,8,4,7,0,0,0,0,58
Frontier,2232,Helen Betty Osborne Ininiw Edu. Res. Ctr,2019,0,74,72,102,78,79,81,88,88,82,123,135,120,81,102,1305
Frontier,1925,Jack River School,2019,0,45,38,64,49,63,52,60,45,53,0,0,0,0,0,469
Frontier,1164,Joseph H. Kerr School,2019,0,13,8,15,14,11,15,10,11,6,9,7,6,8,15,148
Frontier,1279,Julie Lindal School,2019,0,1,1,5,3,0,9,7,5,4,3,0,0,0,0,38
Frontier,1303,Lakefront School,2019,0,2,6,3,1,4,3,5,3,1,3,0,0,0,0,31
Frontier,1811,Leaf Rapids Education Centre,2019,0,11,11,9,9,15,15,9,18,9,4,27,15,3,5,160
Frontier,1271,Matheson Island School,2019,0,2,1,0,0,1,3,1,2,0,3,2,1,0,0,16
Frontier,1682,Mel Johnson School,2019,0,8,9,5,11,6,10,10,11,8,6,13,8,5,6,116
Frontier,1516,Minegoziibe Anishinabe School,2019,0,12,8,13,15,11,8,14,16,11,12,19,24,22,20,205
Frontier,2118,Ministic School,2019,0,1,2,1,2,4,1,1,2,1,1,1,0,0,0,17
Frontier,1032,Oscar Blackburn School,2019,0,26,21,16,18,15,17,19,27,23,15,18,25,0,0,240
Frontier,2213,Peonan Point School,2019,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,4
Frontier,1850,Philomene Chartrand School,2019,0,0,14,9,11,11,10,12,11,9,17,0,0,0,0,104
Frontier,1099,Pikwitonei School,2019,0,0,1,2,1,0,0,1,1,1,1,0,0,0,0,8
Frontier,1185,Rorketon School,2019,0,0,2,1,3,0,1,3,2,0,1,18,21,20,12,84
Frontier,1911,San Antonio School,2019,0,0,2,0,0,1,2,2,2,1,3,0,0,0,0,13
Frontier,2023,Skownan School,2019,0,14,9,7,9,14,9,15,9,15,7,2,0,0,0,110
Frontier,1688,Stevenson Island School,2019,0,1,3,1,1,2,1,3,1,3,0,1,0,0,0,17
Frontier,1605,Thicket Portage School,2019,0,2,1,0,2,1,0,1,2,0,2,0,0,0,0,11
Frontier,1681,Wanipigow School,2019,0,16,25,20,14,14,17,28,29,22,18,12,25,15,14,269
Frontier,1890,Waterhen School,2019,0,6,6,15,5,5,5,7,12,9,9,3,0,0,0,82
Frontier,1073,West Lynn Heights School,2019,0,0,10,21,20,11,21,18,16,13,16,13,12,8,13,192
Garden Valley,1334,Blumenfeld School,2019,0,0,0,6,5,11,4,9,12,3,14,0,0,0,0,64
Garden Valley,1444,Border Valley Elementary,2019,0,0,24,21,29,16,24,23,21,20,24,0,0,0,0,202
Garden Valley,1107,Edelweiss School,2019,0,0,1,5,2,3,1,3,4,2,4,2,2,4,1,34
Garden Valley,2248,Emerado Centennial,2019,0,0,0,0,0,0,79,76,87,73,82,0,0,0,0,397
Garden Valley,1565,Garden Valley Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,216,179,191,207,793
Garden Valley,1339,Hochfeld School,2019,0,0,0,17,3,12,7,8,8,3,3,0,0,0,0,61
Garden Valley,1544,J. R. Walkof Elementary,2019,0,0,99,81,92,86,0,0,0,0,0,0,0,0,0,358
Garden Valley,2285,Northlands Parkway Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,145,150,148,186,629
Garden Valley,2053,Parkland Elementary School,2019,0,0,29,29,33,26,28,38,51,34,45,0,0,0,0,313
Garden Valley,2316,Pine Ridge Elementary School,2019,0,0,77,89,73,71,70,58,47,59,43,0,0,0,0,587
Garden Valley,1717,Plum Coulee School,2019,0,0,29,19,25,18,26,18,20,27,16,0,0,0,0,198
Garden Valley,2275,Prairie Dale School,2019,0,0,0,0,0,0,64,70,62,62,80,0,0,0,0,338
Garden Valley,1091,Southwood Elementary,2019,0,0,63,40,57,61,0,0,0,0,0,0,0,0,0,221
Garden Valley,1124,Winkler Elementary,2019,0,0,40,30,36,35,42,48,38,37,48,0,0,0,0,354
Hanover,1122,Blumenort School,2019,0,0,35,50,43,46,42,52,49,23,47,0,0,0,0,387
Hanover,1882,Bothwell School,2019,0,0,15,10,11,13,11,8,15,13,12,0,0,0,0,108
Hanover,2282,Clearspring Middle School,2019,0,0,0,0,0,0,0,145,152,149,158,0,0,0,0,604
Hanover,1469,Crystal Springs School,2019,0,0,6,2,3,5,8,2,7,4,6,6,5,3,3,60
Hanover,1198,Elmdale School,2019,0,0,50,66,40,69,64,0,0,0,0,0,0,0,0,289
Hanover,1693,Green Valley School,2019,0,0,0,0,0,0,0,79,77,64,64,59,43,52,40,478
Hanover,1234,Kleefeld School,2019,0,0,44,38,40,43,30,39,49,47,41,0,0,0,0,371
Hanover,1129,Landmark Collegiate,2019,0,0,0,0,0,0,0,0,0,34,25,42,29,30,31,191
Hanover,2051,Landmark Elementary School,2019,0,0,29,29,27,25,25,42,39,0,0,0,0,0,0,216
Hanover,1959,Mitchell Elementary School,2019,0,0,103,94,86,89,87,0,0,0,0,0,0,0,0,459
Hanover,2229,Mitchell Middle School,2019,0,0,0,0,0,0,0,93,81,86,77,0,0,0,0,337
Hanover,1777,Niverville Elementary,2019,0,0,92,92,98,104,114,0,0,0,0,0,0,0,0,500
Hanover,2319,Niverville High School,2019,0,0,0,0,0,0,0,0,0,0,0,100,80,70,56,306
Hanover,1309,Niverville Middle School,2019,0,0,0,0,0,0,0,100,105,99,86,0,0,0,0,390
Hanover,1590,South Oaks Elementary,2019,0,0,76,72,56,74,82,0,0,0,0,0,0,0,0,360
Hanover,1513,Southwood School,2019,0,0,103,85,98,99,86,0,0,0,0,0,0,0,0,471
Hanover,1353,Steinbach Regional Secondary,2019,0,0,0,0,0,0,0,0,0,0,0,465,439,457,418,1779
Hanover,1437,Stonybrook Middle School,2019,0,0,0,0,0,0,0,139,119,125,96,0,0,0,0,479
Hanover,1182,Woodlawn School,2019,0,0,110,127,101,122,108,0,0,0,0,0,0,0,0,568
Interlake,1028,Balmoral School,2019,0,0,9,13,14,14,13,10,12,11,7,0,0,0,0,103
Interlake,1752,Brant-Argyle School,2019,0,0,5,6,11,9,5,11,6,8,6,0,0,0,0,67
Interlake,1967,Concord School,2019,0,0,1,3,4,4,2,2,2,2,4,2,0,1,2,29
Interlake,1106,École R. W. Bobby Bend School,2019,0,0,88,80,96,97,83,0,0,0,0,0,0,0,0,444
Interlake,1282,Grosse Isle School,2019,0,0,0,0,0,0,0,14,11,18,9,0,0,0,0,52
Interlake,1610,Kelsey School,2019,0,0,3,3,4,0,4,1,1,1,4,1,2,0,8,32
Interlake,1283,Lightly School,2019,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,10
Interlake,2143,Mallard School,2019,0,0,0,2,3,2,1,3,2,3,2,0,3,4,5,30
Interlake,2299,Meadow Lane School,2019,0,0,3,2,1,0,2,1,1,1,2,0,2,1,7,23
Interlake,1205,New Haven School,2019,0,0,5,3,1,3,5,0,5,2,1,1,2,1,2,31
Interlake,1433,Omega School,2019,0,0,2,3,0,3,0,1,0,1,0,0,2,1,0,13
Interlake,2113,Prairie Blossom School,2019,0,0,2,4,4,4,1,2,2,3,1,1,3,1,2,30
Interlake,1572,Rock Lake School,2019,0,0,4,4,2,2,3,5,3,3,3,5,3,4,4,45
Interlake,1346,Rosser School,2019,0,0,6,16,5,14,8,0,0,0,0,0,0,0,0,49
Interlake,1879,Stonewall Centennial School,2019,0,0,0,0,0,0,0,103,104,73,82,0,0,0,0,362
Interlake,1145,Stonewall Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,133,128,122,131,514
Interlake,1381,Stony Mountain Elementary,2019,0,0,24,16,21,24,26,29,14,26,13,0,0,0,0,193
Interlake,1650,Teulon Collegiate,2019,0,0,0,0,0,0,0,0,0,39,35,37,40,27,41,219
Interlake,1494,Teulon Elementary,2019,0,0,30,27,37,29,42,48,39,0,0,0,0,0,0,252
Interlake,1908,Warren Collegiate,2019,0,0,0,0,0,0,0,0,0,0,0,35,33,39,35,142
Interlake,1710,Warren Elementary,2019,0,0,18,17,16,20,20,23,19,22,22,0,0,0,0,177
Interlake,1160,Woodlands School,2019,0,0,12,19,19,13,8,12,9,10,12,0,0,0,0,114
Kelsey,1021,École Opasquia School,2019,0,0,49,63,66,52,55,66,0,0,0,0,0,0,0,351
Kelsey,1386,Kelsey Community School,2019,0,0,56,56,62,59,53,60,0,0,0,0,0,0,0,346
Kelsey,1724,Margaret Barbour Collegiate Institute,2019,0,0,0,0,0,0,0,0,0,0,0,119,98,80,112,409
Kelsey,1616,Mary Duncan School,2019,0,0,0,0,0,0,0,0,0,3,5,41,22,10,3,84
Kelsey,1260,Scott Bateman Middle School,2019,0,0,0,0,0,0,0,0,101,131,96,0,0,0,0,328
Lakeshore,1816,Alf Cuthbert School,2019,0,0,9,11,8,13,8,6,5,8,14,0,0,0,0,82
Lakeshore,1090,Ashern Central School,2019,0,0,0,0,0,0,0,12,17,13,21,33,35,24,24,179
Lakeshore,2116,Ashern Early Years School,2019,0,0,15,11,17,11,16,0,0,0,0,0,0,0,0,70
Lakeshore,1123,Broad Valley Colony School,2019,0,0,3,4,1,5,2,2,2,4,2,1,2,0,0,28
Lakeshore,1116,Eriksdale School,2019,0,0,9,17,9,3,8,24,25,28,27,0,0,0,0,150
Lakeshore,1765,Fisher Branch Collegiate,2019,0,0,0,0,0,0,0,14,27,22,13,24,14,15,21,150
Lakeshore,1424,Fisher Branch Early Years School,2019,0,0,18,16,7,20,20,0,0,0,0,0,0,0,0,81
Lakeshore,1612,Inwood School,2019,0,0,5,2,7,0,3,5,3,2,5,0,7,3,3,45
Lakeshore,1130,Lundar School,2019,0,0,16,12,11,17,23,0,0,0,0,24,16,26,30,175
Lakeshore,1168,Marble Ridge Colony School,2019,0,0,1,3,0,1,1,1,2,3,1,2,1,2,0,18
Lord Selkirk,1483,Centennial School,2019,0,0,11,22,14,14,13,28,15,0,0,0,0,0,0,117
Lord Selkirk,1040,Daerwood School,2019,0,0,21,15,17,15,18,14,13,0,0,0,0,0,0,113
Lord Selkirk,2256,East Selkirk Middle School,2019,0,0,0,0,0,0,0,63,60,72,59,51,0,0,0,305
Lord Selkirk,2083,École Bonaventure,2019,0,0,37,40,32,43,31,26,35,0,0,0,0,0,0,244
Lord Selkirk,1181,Happy Thought School,2019,0,0,62,66,77,67,66,0,0,0,0,0,0,0,0,338
Lord Selkirk,1657,Lockport School,2019,0,0,0,0,0,0,0,0,0,106,122,111,0,0,0,339
Lord Selkirk,1641,Lord Selkirk Regional Secondary,2019,0,0,0,0,0,0,0,0,0,0,0,0,316,308,373,997
Lord Selkirk,1598,Mapleton School,2019,0,0,14,10,10,16,17,11,19,0,0,0,0,0,0,97
Lord Selkirk,2111,Netley School,2019,0,0,0,5,1,2,5,1,2,4,0,2,3,1,2,28
Lord Selkirk,1897,Robert Smith Elementary,2019,0,0,31,33,26,24,18,30,31,0,0,0,0,0,0,193
Lord Selkirk,1799,Ruth Hooker School,2019,0,0,19,16,11,23,18,23,19,0,0,0,0,0,0,129
Lord Selkirk,1835,Selkirk Junior High,2019,0,0,0,0,0,0,0,0,0,131,122,119,0,0,0,372
Lord Selkirk,1640,St. Andrews School,2019,0,0,52,48,51,55,64,61,58,0,0,0,0,0,0,389
Lord Selkirk,1343,Walter Whyte School,2019,0,0,12,15,12,7,10,13,9,8,13,13,0,0,0,112
Lord Selkirk,1288,William S. Patterson School,2019,0,0,16,17,16,14,18,16,13,0,0,0,0,0,0,110
Louis Riel,1136,Archwood School,2019,0,0,19,15,27,23,24,21,15,28,35,0,0,0,0,207
Louis Riel,1878,Collège Béliveau,2019,0,0,0,0,0,0,0,0,0,59,89,123,124,130,102,627
Louis Riel,2027,Collège Jeanne-Sauvé,2019,0,0,0,0,0,0,0,0,0,0,0,156,174,151,148,629
Louis Riel,1823,Dakota Collegiate,2019,65,0,0,0,0,0,0,0,0,0,0,273,288,302,321,1249
Louis Riel,1441,Darwin School,2019,0,0,15,17,21,23,25,26,25,48,35,0,0,0,0,235
Louis Riel,1589,Dr. D. W. Penner School,2019,0,0,28,19,29,29,16,21,18,0,0,0,0,0,0,160
Louis Riel,1855,École George McDowell,2019,0,0,0,0,0,0,0,0,141,135,114,0,0,0,0,390
Louis Riel,1404,École Guyot,2019,0,0,55,53,53,43,41,47,45,46,0,0,0,0,0,383
Louis Riel,1492,École Henri-Bergeron,2019,0,0,0,0,0,0,72,36,43,43,34,0,0,0,0,228
Louis Riel,1790,École Howden,2019,0,0,60,46,46,47,37,49,49,0,0,0,0,0,0,334
Louis Riel,2100,École Julie-Riel,2019,0,0,37,46,59,35,78,87,0,0,0,0,0,0,0,342
Louis Riel,1018,École Marie-Anne-Gaboury,2019,0,0,54,55,59,43,44,44,34,47,35,0,0,0,0,415
Louis Riel,1016,École Provencher,2019,0,0,70,79,64,51,0,0,0,0,0,0,0,0,0,264
Louis Riel,2310,École Sage Creek School,2019,0,0,119,104,118,123,80,91,70,0,0,0,0,0,0,705
Louis Riel,1965,École Saint-Germain,2019,0,0,83,77,87,92,88,77,0,0,0,0,0,0,0,504
Louis Riel,1986,École Van Belleghem,2019,0,0,40,53,56,46,43,44,38,28,35,0,0,0,0,383
Louis Riel,1366,École Varennes,2019,0,0,59,63,56,32,40,41,38,32,26,0,0,0,0,387
Louis Riel,1128,Frontenac School,2019,0,0,37,33,46,52,45,69,48,57,45,0,0,0,0,432
Louis Riel,1039,General Vanier School,2019,18,0,24,17,22,34,23,30,22,24,27,0,0,0,0,241
Louis Riel,1530,Glenlawn Collegiate,2019,45,0,0,0,0,0,0,0,0,0,0,182,225,254,271,977
Louis Riel,1336,Glenwood School,2019,0,0,20,20,17,18,16,30,18,21,29,0,0,0,0,189
Louis Riel,2020,H. S. Paul School,2019,0,0,33,41,35,45,55,56,53,48,65,0,0,0,0,431
Louis Riel,1017,Hastings School,2019,0,0,14,18,28,29,31,34,25,24,31,0,0,0,0,234
Louis Riel,2062,Highbury School,2019,0,0,39,47,43,45,42,45,57,52,54,0,0,0,0,424
Louis Riel,2152,Island Lakes Community School,2019,0,0,24,40,37,42,51,51,57,65,84,0,0,0,0,451
Louis Riel,1246,J. H. Bruns Collegiate,2019,17,0,0,0,0,0,0,0,0,0,0,166,182,199,225,789
Louis Riel,1571,Lavallee School,2019,7,0,15,20,17,14,12,17,13,15,20,0,0,0,0,150
Louis Riel,1171,Louis Riel S.D. Arts And Technology Ctr.,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,3,152,155
Louis Riel,1542,Marion School,2019,0,0,13,18,13,17,7,9,18,14,17,0,0,0,0,126
Louis Riel,1156,Minnetonka School,2019,0,0,18,18,14,13,22,21,17,22,26,0,0,0,0,171
Louis Riel,1833,Nelson McIntyre Collegiate,2019,33,0,0,0,0,0,0,0,0,0,0,70,53,69,80,305
Louis Riel,1374,Niakwa Place School,2019,0,0,20,19,22,28,26,24,37,45,31,0,0,0,0,252
