School Division/Independent School,Code,School Name,Year,SE,Nursery,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
Seven Oaks,1088,Arthur E. Wright Community School,2013,0,0,74,62,62,63,64,58,66,76,78,0,0,0,0,603
Seven Oaks,1564,Collège Garden City Collegiate,2013,0,0,0,0,0,0,0,0,0,0,0,342,351,309,395,1397
Seven Oaks,1410,Collicutt School,2013,0,0,22,23,24,23,22,17,0,0,0,0,0,0,0,131
Seven Oaks,1940,École Belmont,2013,0,0,69,68,57,46,46,37,0,0,0,0,0,0,0,323
Seven Oaks,2019,École Constable Edward Finney School,2013,0,0,80,90,86,72,75,73,0,0,0,0,0,0,0,476
Seven Oaks,1375,École James Nisbet Community School,2013,0,0,92,116,102,88,93,94,0,0,0,0,0,0,0,585
Seven Oaks,2064,École Leila North Community School,2013,0,0,0,0,0,0,0,0,188,185,202,0,0,0,0,575
Seven Oaks,2126,École Seven Oaks Middle School,2013,0,0,0,0,0,0,0,0,136,142,137,0,0,0,0,415
Seven Oaks,2259,Edmund Partridge Community School,2013,0,0,0,0,0,0,0,0,106,112,127,0,0,0,0,345
Seven Oaks,1639,Elwick Community School,2013,0,0,32,45,50,43,56,37,49,43,53,0,0,0,0,408
Seven Oaks,1050,Forest Park School,2013,0,0,42,31,39,47,46,42,0,0,0,0,0,0,0,247
Seven Oaks,1295,Governor Semple School,2013,0,0,20,22,19,31,27,33,0,0,0,0,0,0,0,152
Seven Oaks,1333,H. C. Avery Middle School,2013,0,0,0,0,0,0,0,0,93,151,124,0,0,0,0,368
Seven Oaks,1892,Maples Collegiate,2013,9,0,0,0,0,0,0,0,0,0,0,342,388,351,590,1680
Seven Oaks,1769,Margaret Park School,2013,0,0,47,37,36,44,48,38,7,0,0,0,0,0,0,257
Seven Oaks,1080,O. V. Jewitt Elementary,2013,0,0,59,48,50,58,59,68,64,67,74,0,0,0,0,547
Seven Oaks,2096,Riverbend Community School,2013,0,0,85,87,107,94,82,86,0,0,0,0,0,0,0,541
Seven Oaks,1078,Shkola R.F. Morrison School,2013,0,0,45,49,33,32,32,32,16,0,0,0,0,0,0,239
Seven Oaks,1079,Victory School,2013,0,0,40,36,47,39,43,45,0,0,0,0,0,0,0,250
Seven Oaks,1019,West Kildonan Collegiate,2013,0,0,0,0,0,0,0,0,0,0,0,197,202,195,242,836
Seven Oaks,1508,West St. Paul School,2013,0,0,43,45,53,52,48,53,53,70,66,0,0,0,0,483
Southwest Horizon,1594,Deloraine School,2013,0,0,13,14,16,20,13,20,18,11,15,24,22,13,17,216
Southwest Horizon,2049,Green Acres Colony School,2013,0,0,0,4,3,0,4,0,2,3,2,0,0,0,0,18
Southwest Horizon,1153,Hartney School,2013,0,0,14,11,9,7,11,10,10,14,15,8,9,14,11,143
Southwest Horizon,1372,Maple Grove Colony School,2013,0,0,1,2,3,2,3,1,4,3,3,0,6,0,1,29
Southwest Horizon,1385,Melita School,2013,0,0,14,23,17,16,21,10,24,16,20,12,18,20,19,230
Southwest Horizon,1186,Nature Valley Colony School,2013,0,0,3,0,3,0,3,2,0,1,0,2,1,1,2,18
Southwest Horizon,1772,Newdale Colony School,2013,0,0,3,6,7,3,4,7,3,6,8,0,0,2,1,50
Southwest Horizon,1615,Pierson School,2013,0,0,5,9,4,7,5,9,4,3,7,5,7,9,6,80
Southwest Horizon,1066,Souris River Colony School,2013,0,0,4,5,2,1,3,1,1,0,0,0,0,0,0,17
Southwest Horizon,1250,Souris School,2013,0,0,37,44,33,26,38,37,35,37,38,36,34,36,39,470
Southwest Horizon,1458,Waskada School,2013,0,0,6,4,8,7,11,8,3,5,8,7,12,12,6,97
Southwest Horizon,1396,Wawanesa School,2013,0,0,19,21,17,22,18,22,17,16,21,17,19,17,21,247
St. James-Assiniboia,1466,Athlone School,2013,0,0,38,45,35,50,42,53,0,0,0,0,0,0,0,263
St. James-Assiniboia,1524,Brooklands School,2013,0,0,34,26,38,22,21,19,0,0,0,0,0,0,0,160
St. James-Assiniboia,1467,Bruce Middle School,2013,0,0,0,0,0,0,0,0,79,88,101,0,0,0,0,268
St. James-Assiniboia,1167,Buchanan School,2013,0,0,37,43,31,43,42,29,0,0,0,0,0,0,0,225
St. James-Assiniboia,1135,Collège Sturgeon Heights Collegiate,2013,0,0,0,0,0,0,0,0,0,0,0,306,278,315,363,1262
St. James-Assiniboia,1358,Crestview School,2013,0,0,46,37,36,36,29,36,0,0,0,0,0,0,0,220
St. James-Assiniboia,1432,École Assiniboine,2013,0,0,49,54,44,52,39,34,0,0,0,0,0,0,0,272
St. James-Assiniboia,1548,École Bannatyne,2013,0,0,57,52,46,44,32,37,0,0,0,0,0,0,0,268
St. James-Assiniboia,1922,École Robert-Browning,2013,0,0,84,64,64,40,50,40,0,0,0,0,0,0,0,342
St. James-Assiniboia,2107,George Waters Middle School,2013,0,0,0,0,0,0,0,0,85,111,106,0,0,0,0,302
St. James-Assiniboia,1627,Golden Gate Middle School,2013,0,0,0,0,0,0,0,0,156,167,159,0,0,0,0,482
St. James-Assiniboia,1517,Hedges Middle School,2013,0,0,0,0,0,0,0,0,57,77,66,0,0,0,0,200
St. James-Assiniboia,1760,Heritage School,2013,0,0,31,28,34,22,27,25,0,0,0,0,0,0,0,167
St. James-Assiniboia,2260,Jameswood Alternative School,2013,0,0,0,0,0,0,0,0,0,0,0,0,8,16,74,98
St. James-Assiniboia,1342,John Taylor Collegiate,2013,0,0,0,0,0,0,0,0,0,0,0,121,132,129,160,542
St. James-Assiniboia,1597,Lakewood School,2013,0,0,38,36,37,39,32,38,0,0,0,0,0,0,0,220
